date,location,Visit_frequency
2014-01-06,Abila Airport,4
2014-01-06,Abila Zacharo,6
2014-01-06,Albert's Fine Clothing,2
2014-01-06,Bean There Done That,5
2014-01-06,Brew've Been Served,16
2014-01-06,Brewed Awakenings,3
2014-01-06,Carlyle Chemical Inc.,1
2014-01-06,Coffee Cameleon,4
2014-01-06,Coffee Shack,1
2014-01-06,Frydos Autosupply n' More,6
2014-01-06,Gelatogalore,4
2014-01-06,Guy's Gyros,11
2014-01-06,Hallowed Grounds,9
2014-01-06,Hippokampos,16
2014-01-06,Jack's Magical Beans,4
2014-01-06,Kalami Kafenion,6
2014-01-06,Katerina's Cafe,19
2014-01-06,Kronos Pipe and Irrigation,1
2014-01-06,Maximum Iron and Steel,1
2014-01-06,Nationwide Refinery,1
2014-01-06,Ouzeri Elian,5
2014-01-06,Shoppers' Delight,1
2014-01-06,Stewart and Sons Fabrication,1
2014-01-06,U-Pump,1
2014-01-07,Abila Airport,3
2014-01-07,Abila Scrapyard,1
2014-01-07,Abila Zacharo,6
2014-01-07,Albert's Fine Clothing,2
2014-01-07,Bean There Done That,4
2014-01-07,Brew've Been Served,15
2014-01-07,Brewed Awakenings,4
2014-01-07,Carlyle Chemical Inc.,1
2014-01-07,Coffee Cameleon,4
2014-01-07,Coffee Shack,1
2014-01-07,Frydos Autosupply n' More,1
2014-01-07,Gelatogalore,10
2014-01-07,Guy's Gyros,13
2014-01-07,Hallowed Grounds,10
2014-01-07,Hippokampos,11
2014-01-07,Jack's Magical Beans,4
2014-01-07,Kalami Kafenion,5
2014-01-07,Katerina's Cafe,17
2014-01-07,Kronos Pipe and Irrigation,1
2014-01-07,Maximum Iron and Steel,1
2014-01-07,Nationwide Refinery,4
2014-01-07,Ouzeri Elian,9
2014-01-07,Stewart and Sons Fabrication,3
2014-01-08,Abila Airport,2
2014-01-08,Abila Zacharo,6
2014-01-08,Albert's Fine Clothing,1
2014-01-08,Bean There Done That,4
2014-01-08,Brew've Been Served,17
2014-01-08,Brewed Awakenings,3
2014-01-08,Carlyle Chemical Inc.,3
2014-01-08,Chostus Hotel,2
2014-01-08,Coffee Cameleon,4
2014-01-08,Coffee Shack,1
2014-01-08,Frank's Fuel,1
2014-01-08,Frydos Autosupply n' More,3
2014-01-08,Gelatogalore,8
2014-01-08,General Grocer,1
2014-01-08,Guy's Gyros,12
2014-01-08,Hallowed Grounds,10
2014-01-08,Hippokampos,13
2014-01-08,Jack's Magical Beans,4
2014-01-08,Kalami Kafenion,7
2014-01-08,Katerina's Cafe,16
2014-01-08,Kronos Pipe and Irrigation,1
2014-01-08,Maximum Iron and Steel,1
2014-01-08,Nationwide Refinery,2
2014-01-08,Ouzeri Elian,5
2014-01-08,Stewart and Sons Fabrication,2
2014-01-09,Abila Airport,4
2014-01-09,Abila Scrapyard,1
2014-01-09,Abila Zacharo,6
2014-01-09,Albert's Fine Clothing,2
2014-01-09,Bean There Done That,3
2014-01-09,Brew've Been Served,14
2014-01-09,Brewed Awakenings,3
2014-01-09,Carlyle Chemical Inc.,4
2014-01-09,Coffee Cameleon,3
2014-01-09,Coffee Shack,1
2014-01-09,Frydos Autosupply n' More,4
2014-01-09,Gelatogalore,8
2014-01-09,General Grocer,1
2014-01-09,Guy's Gyros,15
2014-01-09,Hallowed Grounds,9
2014-01-09,Hippokampos,14
2014-01-09,Jack's Magical Beans,5
2014-01-09,Kalami Kafenion,5
2014-01-09,Katerina's Cafe,15
2014-01-09,Kronos Pipe and Irrigation,1
2014-01-09,Maximum Iron and Steel,1
2014-01-09,Nationwide Refinery,4
2014-01-09,Ouzeri Elian,6
2014-01-09,Shoppers' Delight,1
2014-01-09,Stewart and Sons Fabrication,3
2014-01-10,Abila Airport,1
2014-01-10,Abila Zacharo,7
2014-01-10,Albert's Fine Clothing,1
2014-01-10,Bean There Done That,5
2014-01-10,Brew've Been Served,17
2014-01-10,Brewed Awakenings,3
2014-01-10,Carlyle Chemical Inc.,1
2014-01-10,Chostus Hotel,2
2014-01-10,Coffee Cameleon,4
2014-01-10,Frydos Autosupply n' More,3
2014-01-10,Gelatogalore,2
2014-01-10,General Grocer,1
2014-01-10,Guy's Gyros,14
2014-01-10,Hallowed Grounds,9
2014-01-10,Hippokampos,11
2014-01-10,Jack's Magical Beans,4
2014-01-10,Kalami Kafenion,4
2014-01-10,Katerina's Cafe,11
2014-01-10,Kronos Mart,1
2014-01-10,Nationwide Refinery,2
2014-01-10,Octavio's Office Supplies,2
2014-01-10,Ouzeri Elian,7
2014-01-10,Roberts and Sons,1
2014-01-10,Shoppers' Delight,1
2014-01-10,Stewart and Sons Fabrication,2
2014-01-11,Abila Zacharo,4
2014-01-11,Ahaggo Museum,2
2014-01-11,Albert's Fine Clothing,2
2014-01-11,Frydos Autosupply n' More,4
