"","timestamp","id.x","lat","long","start_vec","stop_vec","Possible_Location"
"1",2014-01-07 12:03:01,"26",36.04802,24.87956,1,0,"GASTech"
"2",2014-01-09 17:19:01,"2",36.04802,24.87957,1,0,"GASTech"
"406",2014-01-15 11:53:21,"107",36.04802,24.87957,0,1,"GASTech"
"810",2014-01-10 14:11:05,"18",36.04802,24.87957,0,1,"GASTech"
"1214",2014-01-06 12:17:01,"1",36.04802,24.87957,1,0,"GASTech"
"1618",2014-01-13 17:37:01,"20",36.04802,24.87957,1,0,"GASTech"
"2022",2014-01-14 12:12:01,"6",36.04802,24.87957,1,0,"GASTech"
"2426",2014-01-08 08:22:12,"22",36.04802,24.87957,0,1,"GASTech"
"2830",2014-01-08 08:22:31,"5",36.04802,24.87957,0,1,"GASTech"
"3234",2014-01-10 12:18:01,"18",36.04802,24.87957,1,0,"GASTech"
"3638",2014-01-16 13:43:16,"35",36.04802,24.87957,0,1,"GASTech"
"4042",2014-01-06 07:45:09,"26",36.04802,24.87957,0,1,"GASTech"
"4446",2014-01-06 07:13:31,"35",36.04802,24.87957,0,1,"GASTech"
"4850",2014-01-14 12:32:12,"29",36.04802,24.87957,1,0,"GASTech"
"5254",2014-01-16 13:37:26,"19",36.04802,24.87957,0,1,"GASTech"
"5658",2014-01-07 14:01:05,"11",36.04802,24.87957,0,1,"GASTech"
"6062",2014-01-08 13:36:23,"5",36.04802,24.87957,0,1,"GASTech"
"6466",2014-01-08 13:40:17,"29",36.04802,24.87957,0,1,"GASTech"
"6870",2014-01-08 11:17:01,"15",36.04802,24.87957,1,0,"GASTech"
"7274",2014-01-13 17:39:01,"30",36.04802,24.87957,1,0,"GASTech"
"7678",2014-01-13 17:35:01,"21",36.04802,24.87957,1,0,"GASTech"
"8082",2014-01-06 07:44:12,"20",36.04802,24.87957,0,1,"GASTech"
"8486",2014-01-08 13:49:42,"15",36.04802,24.87957,0,1,"GASTech"
"8890",2014-01-13 17:56:01,"10",36.04802,24.87957,1,0,"GASTech"
"9294",2014-01-06 12:28:01,"12",36.04802,24.87957,1,0,"GASTech"
"9698",2014-01-08 13:51:17,"2",36.04802,24.87957,0,1,"GASTech"
"10102",2014-01-09 07:06:41,"35",36.04802,24.87957,0,1,"GASTech"
"10506",2014-01-16 13:48:17,"34",36.04802,24.87957,0,1,"GASTech"
"10910",2014-01-16 13:52:42,"13",36.04802,24.87957,0,1,"GASTech"
"11314",2014-01-17 11:15:01,"33",36.04802,24.87957,1,0,"GASTech"
"11718",2014-01-16 13:53:42,"20",36.04802,24.87957,0,1,"GASTech"
"12122",2014-01-13 18:04:01,"4",36.04802,24.87957,1,0,"GASTech"
"12526",2014-01-17 11:20:01,"7",36.04802,24.87957,1,0,"GASTech"
"12930",2014-01-06 12:12:01,"11",36.04802,24.87957,1,0,"GASTech"
"13334",2014-01-10 12:23:01,"3",36.04802,24.87957,1,0,"GASTech"
"13738",2014-01-08 11:57:01,"20",36.04802,24.87957,1,0,"GASTech"
"14142",2014-01-08 13:59:16,"13",36.04802,24.87957,0,1,"GASTech"
"14546",2014-01-07 17:04:01,"106",36.04802,24.87957,1,1,"GASTech"
"14950",2014-01-07 13:57:42,"3",36.04802,24.87957,0,1,"GASTech"
"15354",2014-01-06 08:00:11,"19",36.04802,24.87957,0,1,"GASTech"
"15758",2014-01-07 17:15:01,"12",36.04802,24.87957,1,0,"GASTech"
"16162",2014-01-06 08:00:19,"7",36.04802,24.87957,0,1,"GASTech"
"16566",2014-01-07 17:17:01,"8",36.04802,24.87957,1,0,"GASTech"
"16970",2014-01-07 17:18:01,"27",36.04802,24.87957,1,0,"GASTech"
"17374",2014-01-07 17:19:01,"33",36.04802,24.87957,1,0,"GASTech"
"17778",2014-01-16 07:45:23,"29",36.04802,24.87957,0,1,"GASTech"
"18182",2014-01-06 08:01:39,"29",36.04802,24.87957,0,1,"GASTech"
"18586",2014-01-10 12:28:01,"8",36.04802,24.87957,1,0,"GASTech"
"18990",2014-01-14 17:46:01,"18",36.04802,24.87957,1,0,"GASTech"
"19394",2014-01-10 17:41:01,"6",36.04802,24.87957,1,0,"GASTech"
"19798",2014-01-08 12:10:01,"6",36.04802,24.87957,1,0,"GASTech"
"20202",2014-01-06 08:06:09,"8",36.04802,24.87957,0,1,"GASTech"
"20606",2014-01-10 12:20:01,"9",36.04802,24.87957,1,0,"GASTech"
"21010",2014-01-15 08:07:12,"34",36.04802,24.87957,0,1,"GASTech"
"21414",2014-01-06 22:15:02,"1",36.04802,24.87957,0,1,"GASTech"
"21818",2014-01-06 08:07:11,"3",36.04802,24.87957,0,1,"GASTech"
"22222",2014-01-17 08:29:12,"13",36.04802,24.87957,0,1,"GASTech"
"22626",2014-01-10 12:21:01,"1",36.04802,24.87957,1,0,"GASTech"
"23030",2014-01-08 12:14:01,"12",36.04802,24.87957,1,0,"GASTech"
"23434",2014-01-14 12:37:01,"35",36.04802,24.87957,1,0,"GASTech"
"23838",2014-01-09 17:34:01,"30",36.04802,24.87957,1,0,"GASTech"
"24242",2014-01-10 13:36:01,"33",36.04802,24.87957,1,1,"GASTech"
"24646",2014-01-09 13:53:17,"1",36.04802,24.87957,0,1,"GASTech"
"25050",2014-01-07 17:30:01,"20",36.04802,24.87957,1,0,"GASTech"
"25454",2014-01-15 08:15:09,"27",36.04802,24.87957,0,1,"GASTech"
